Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\pla_ori_1030.pdid.pdid 
Operator ID:	 
Sample ID:	PLA 
Comment: 	pla_ori_1031 run 2 
Serial Number:	536N7042301 
Data Collected:	10/31/2023 11:33:23 AM 
Sample Weight:	19.900 mg 
Display Weight:	19.900 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\05-25-2023_DiamDSC_He-Cryo_1.pdic 
Date/Time:	 
Initial Conditions 
Temperature:	 0.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Fast     
Baseline Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\backgr2_1030.pdid.pdid 
End Condition:	Go To Load 
Total Points in Run:	3479 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Helium at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 0.00°C 
 
2)	Heat from 0.00°C to 220.00°C at 5.00°C/min 
 
3)	Hold for 1.0 min at 220.00°C 
 
4)	Cool from 220.00°C to 0.00°C at 20.00°C/min 
 
5)	Hold for 1.0 min at 0.00°C 
 
1) Diamond DSC Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	6.233333	1.181995	-3.348167	26.170000	41.911000	0.000000	1.170320 
	6.250000	1.156248	-3.339507	26.254000	41.995000	0.000000	1.170320 
	6.266667	1.130735	-3.331432	26.337000	42.080000	0.000000	1.170320 
	6.283333	1.105339	-3.323590	26.420000	42.166000	0.000000	1.170320 
	6.300000	1.079826	-3.315983	26.504000	42.254000	0.000000	1.170320 
	6.316667	1.054547	-3.308142	26.587000	42.337000	0.000000	1.170320 
	6.333333	1.029151	-3.299950	26.670000	42.422000	0.000000	1.170320 
	6.350000	1.003639	-3.291407	26.754000	42.507000	0.000000	1.170320 
	6.366667	0.978126	-3.282746	26.837000	42.597000	0.000000	1.170320 
	6.383333	0.952496	-3.273969	26.920000	42.684000	0.000000	1.170320 
	6.400000	0.926983	-3.265426	27.004000	42.766000	0.000000	1.170320 
	6.416667	0.901704	-3.257233	27.087000	42.851000	0.000000	1.170320 
	6.433333	0.876074	-3.248924	27.170000	42.935000	0.000000	1.170320 
	6.450000	0.850678	-3.240147	27.254000	43.020000	0.000000	1.170320 
	6.466667	0.825282	-3.231018	27.337000	43.107000	0.000000	1.170320 
	6.483333	0.799652	-3.221422	27.420000	43.194000	0.000000	1.170320 
	6.500000	0.774022	-3.211708	27.504000	43.280000	0.000000	1.170320 
	6.516667	0.748509	-3.202228	27.587000	43.363000	0.000000	1.170320 
	6.533333	0.722996	-3.192983	27.670000	43.450000	0.000000	1.170320 
	6.550000	0.697483	-3.184205	27.754000	43.535000	0.000000	1.170320 
	6.566667	0.671970	-3.175428	27.837000	43.624000	0.000000	1.170320 
	6.583333	0.646457	-3.166651	27.920000	43.708000	0.000000	1.170320 
	6.600000	0.620944	-3.157990	28.004000	43.792000	0.000000	1.170320 
	6.616667	0.595431	-3.149330	28.087000	43.880000	0.000000	1.170320 
	6.633333	0.569918	-3.140904	28.170000	43.965000	0.000000	1.170320 
	6.650000	0.544405	-3.132828	28.254000	44.050000	0.000000	1.170320 
	6.666667	0.519009	-3.125104	28.337000	44.135000	0.000000	1.170320 
	6.683333	0.493847	-3.117380	28.420000	44.223000	0.000000	1.170320 
	6.700000	0.468685	-3.109773	28.504000	44.310000	0.000000	1.170320 
	6.716667	0.443758	-3.101932	28.587000	44.396000	0.000000	1.170320 
	6.733333	0.418596	-3.093740	28.670000	44.481000	0.000000	1.170320 
